Artist;Song name;Album name;Year;Genre;Length;;;;
;;;;;;;;;
;;;;;;;;;
Teoalida's Music Database;;;;;;;;;
6000+ songs that I downloaded, listened and rated according my preferrences;;;;;;;;;
Copyright 2005-2016 - www.teoalida.com/database/music;;;;;;;;;
You are not allowed to distribute or post this file on other websites!;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Ace of Base;;;;;#REF!;;;;
Alan Jackson;Blue Blooded Woman;Here In the Real World;1990;Country;02:14;;;;
Alan Jackson;Wanted;Here In the Real World;1990;Country;02:57;;;;
Alan Jackson;Chasin' That Neon Rainbow;Here In the Real World;1990;Country;03:05;;;;
Alan Jackson;She Don't Get the Blues;Here In the Real World;1990;Country;02:46;;;;
Alan Jackson;I'd Love You All Over Again;Here In the Real World;1990;Country;03:10;;;;
Alan Jackson;Dog River Blues;Here In the Real World;1990;Country;02:20;;;;
Alan Jackson;Home;Here In the Real World;1990;Country;03:18;;;;
Alan Jackson;Short Sweet Ride;Here In the Real World;1990;Country;02:29;;;;
Alan Jackson;Don't Rock the Jukebox;Don't Rock the Jukebox;1991;Country;02:53;;;;
Alan Jackson;That's All I Need to Know;Don't Rock the Jukebox;1991;Country;03:46;;;;
Alan Jackson;Dallas;Don't Rock the Jukebox;1991;Country;02:45;;;;
Alan Jackson;Midnight In Montgomery;Don't Rock the Jukebox;1991;Country;03:47;;;;
Alan Jackson;Love's Got a Hold On You;Don't Rock the Jukebox;1991;Country;02:54;;;;
Alan Jackson;Someday;Don't Rock the Jukebox;1991;Country;03:17;;;;
Alan Jackson;Just Playin' Possum;Don't Rock the Jukebox;1991;Country;02:55;;;;
Alan Jackson;From a Distance;Don't Rock the Jukebox;1991;Country;03:38;;;;
Alan Jackson;Walkin' the Floor Over Me;Don't Rock the Jukebox;1991;Country;02:25;;;;
Alan Jackson;Working Class Hero;Don't Rock the Jukebox;1991;Country;03:15;;;;
Alan Jackson;Chattahoochee;A Lot About Livin' (And a Little 'Bout Love);1992;Country;02:28;;;;
Alan Jackson;She's Got the Rhythm (And I Got the Blues);A Lot About Livin' (And a Little 'Bout Love);1992;Country;02:24;;;;
Alan Jackson;Tonight I Climbed the Wall;A Lot About Livin' (And a Little 'Bout Love);1992;Country;03:30;;;;
Alan Jackson;I Don't Need the Booze (To Get a Buzz On);A Lot About Livin' (And a Little 'Bout Love);1992;Country;03:15;;;;
Alan Jackson;(Who Says) You Can't Have It All;A Lot About Livin' (And a Little 'Bout Love);1992;Country;03:29;;;;
Alan Jackson;Up to My Ears in Tears;A Lot About Livin' (And a Little 'Bout Love);1992;Country;02:54;;;;
Alan Jackson;Tropical Depression;A Lot About Livin' (And a Little 'Bout Love);1992;Country;02:57;;;;
Alan Jackson;She Likes It Too;A Lot About Livin' (And a Little 'Bout Love);1992;Country;02:50;;;;
Alan Jackson;If It Ain't One Thing (It's You);A Lot About Livin' (And a Little 'Bout Love);1992;Country;03:52;;;;
Alan Jackson;Mercury Blues;A Lot About Livin' (And a Little 'Bout Love);1992;Country;03:38;;;;
Alan Jackson;Honky Tonk Christmas;Honky Tonk Christmas;1993;Country;02:52;;;;
Alan Jackson & Alison Krauss;The Angels Cried;Honky Tonk Christmas;1993;Country;02:51;;;;
Alan Jackson;If We Make It Through December;Honky Tonk Christmas;1993;Country;02:44;;;;
Alan Jackson;If You Don't Wanna See Santa Claus Cry;Honky Tonk Christmas;1993;Country;03:12;;;;
Alan Jackson;I Only Want You for Christmas;Honky Tonk Christmas;1993;Country;03:20;;;;
Alan Jackson;Merry Christmas to Me;Honky Tonk Christmas;1993;Country;02:52;;;;
Alan Jackson;A Holly Jolly Christmas;Honky Tonk Christmas;1993;Country;02:14;;;;
Alan Jackson & Keith Whitley;There's a New Kid In Town;Honky Tonk Christmas;1993;Country;04:08;;;;
Alan Jackson & The Chipmunks;Santa's Gonna Come In a Pickup Truck;Honky Tonk Christmas;1993;Country;04:08;;;;
Alan Jackson;Please Daddy (Don't Get Drunk This Christmas);Honky Tonk Christmas;1993;Country;03:21;;;;
Alan Jackson;Summertime Blues;Who I Am;1994;Country;03:12;;;;
Alan Jackson;Livin' on Love;Who I Am;1994;Country;03:49;;;;
Alan Jackson;Hole in the Wall;Who I Am;1994;Country;03:33;;;;
Alan Jackson;Gone Country;Who I Am;1994;Country;04:20;;;;
Alan Jackson;Who I Am;Who I Am;1994;Country;02:46;;;;
